Month,Macagual,Irradiation
Jan,4083.3,291.6642857
Feb,3937.4,281.2428571
Mar,3349.6,239.2571429
Apr,3485.3,248.95
May,3084.8,220.3428571
Jun,3377,241.2142857
Jul,3137.7,224.1214286
Aug,3577.7,255.55
Sept,3770,269.2857143
Oct,3909.8,279.2714286
Nov,3951.1,282.2214286
Dec,3918.7,279.9071429
