Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
313,Mountain,1,Florencia,1,DM1,P16,180.7,0.201,2.008,79.92,0.089,97.14,0.108,0.25,0,0,0,360.42,0.4,284.43,24.73,33.7
314,Mountain,2,Florencia,1,DM1,P16,450.77,0.501,5.009,49.45,0.055,70.86,0.079,0,0,1.16,0.001,577.89,0.642,192.74,24.54,34.92
315,Mountain,3,Florencia,1,DM1,P16,509.34,0.566,5.659,67.54,0.075,65.94,0.073,0,0,1.0175,0.001,650.21,0.722,277.28,24.85,34.44
316,Mountain,4,Florencia,1,DM1,P16,397.62,0.442,4.418,19.54,0.022,31.43,0.035,0,0,0.27,0,453.78,0.504,162.81,25.07,34.72
317,Mountain,5,Florencia,1,DM1,P16,470.37,0.523,5.226,27.97,0.031,116.71,0.13,0.22,0,0.91,0.001,622.09,0.691,131.31,24.56,33.66
318,Mountain,6,Florencia,1,DM1,P16,543.92,0.604,6.044,27.02,0.03,100.19,0.111,0,0,0.08,0,678,0.753,62.86,25.33,34.14
319,Mountain,7,Florencia,1,DM1,P16,517.91,0.575,5.755,35.08,0.039,48.01,0.053,0,0,7.51,0.008,614.93,0.683,229.39,25.01,34.09
320,Mountain,8,Florencia,1,DM1,P16,275.16,0.306,3.057,30.42,0.034,118.26,0.131,0,0,0.94,0.001,428.31,0.476,340.61,23.59,33.26
321,Mountain,9,Florencia,1,DM1,P16,107.16,0.119,1.191,30.12,0.033,114.87,0.128,0.21,0,12.08,0.013,265.91,0.295,438.75,23.81,34.18
322,Mountain,10,Florencia,1,DM1,P16,325.04,0.361,3.612,46.61,0.052,120.16,0.134,1.95,0.002,7.56,0.008,505.48,0.562,451.61,22.5,32.33
323,Mountain,11,Florencia,1,DM1,P16,302.8,0.336,3.364,119.83,0.133,105.66,0.117,0.88,0.001,3.18,0.004,536.3,0.596,233.18,22.71,31.23
324,Mountain,12,Florencia,1,DM1,P16,531.21,0.59,5.902,51.87,0.058,206.11,0.229,1.19,0.001,30.7,0.034,827.86,0.92,270.06,23.66,31.86
325,Mountain,1,Florencia,2,DM2,P7,396.97,0.441,4.411,47.31,0.053,78.45,0.087,2.83,0.003,17.55,0.02,548.1,0.609,284.43,24.73,33.7
326,Mountain,2,Florencia,2,DM2,P7,488.48,0.543,5.428,34.24,0.038,104.85,0.117,12.1,0.013,13.72,0.015,659.53,0.733,192.74,24.54,34.92
327,Mountain,3,Florencia,2,DM2,P7,496.47,0.552,5.516,89.37,0.099,142.21,0.158,1.32,0.001,2.415,0.003,738.11,0.82,277.28,24.85,34.44
328,Mountain,4,Florencia,2,DM2,P7,306.28,0.34,3.403,17.86,0.02,123.04,0.137,6.09,0.007,2.09,0.002,459.26,0.51,162.81,25.07,34.72
329,Mountain,5,Florencia,2,DM2,P7,335.74,0.373,3.73,13.65,0.015,92.17,0.102,0,0,3.44,0.004,449.22,0.499,131.31,24.56,33.66
330,Mountain,6,Florencia,2,DM2,P7,673.68,0.749,7.485,23.88,0.027,97.15,0.108,0.27,0,10.23,0.011,813.58,0.904,62.86,25.33,34.14
331,Mountain,7,Florencia,2,DM2,P7,701.99,0.78,7.8,74.45,0.083,122.92,0.137,0,0,8.33,0.009,916.49,1.018,229.39,25.01,34.09
332,Mountain,8,Florencia,2,DM2,P7,224.17,0.249,2.491,6.2,0.007,92.95,0.103,0,0,0.57,0.001,326.74,0.363,340.61,23.59,33.26
333,Mountain,9,Florencia,2,DM2,P7,192.13,0.213,2.135,22.73,0.025,73.9,0.082,8.12,0.009,80.4,0.089,379.74,0.422,438.75,23.81,34.18
334,Mountain,10,Florencia,2,DM2,P7,222.29,0.247,2.47,37.26,0.041,92.84,0.103,33.34,0.037,62.63,0.07,451.26,0.501,451.61,22.5,32.33
335,Mountain,11,Florencia,2,DM2,P7,230.72,0.256,2.564,51.86,0.058,193.1,0.215,3.08,0.003,8.89,0.01,490.75,0.545,233.18,22.71,31.23
336,Mountain,12,Florencia,2,DM2,P7,597.67,0.664,6.641,74.84,0.083,196.18,0.218,6.3,0.007,26.46,0.029,909.06,1.01,270.06,23.66,31.86
337,Mountain,1,Florencia,3,RM,P2,797.55,0.886,8.862,204.99,0.228,238.14,0.265,6.85,0.008,143.5,0.159,1401.28,1.557,284.43,24.73,33.7
338,Mountain,2,Florencia,3,RM,P2,317.59,0.353,3.529,51.74,0.057,183.85,0.204,4.8,0.005,18.3,0.02,580.43,0.645,192.74,24.54,34.92
339,Mountain,3,Florencia,3,RM,P2,394.44,0.438,4.383,81.25,0.09,270.68,0.301,0,0,7.2977,0.008,758.88,0.843,277.28,24.85,34.44
340,Mountain,4,Florencia,3,RM,P2,622.76,0.692,6.92,47.34,0.053,108.24,0.12,2.16,0.002,5.42,0.006,793.7,0.882,162.81,25.07,34.72
341,Mountain,5,Florencia,3,RM,P2,517.56,0.575,5.751,42.22,0.047,124.61,0.138,11.26,0.013,12.54,0.014,714.71,0.794,131.31,24.56,33.66
342,Mountain,6,Florencia,3,RM,P2,804.71,0.894,8.941,35.88,0.04,149.93,0.167,0.12,0,26.21,0.029,1026.89,1.141,62.86,25.33,34.14
343,Mountain,7,Florencia,3,RM,P2,334,0.371,3.711,10.23,0.011,38.21,0.042,0,0,6.23,0.007,392.81,0.436,229.39,25.01,34.09
344,Mountain,8,Florencia,3,RM,P2,209.62,0.233,2.329,12.4,0.014,74.42,0.083,0,0,2.28,0.003,301.38,0.335,340.61,23.59,33.26
345,Mountain,9,Florencia,3,RM,P2,150.13,0.167,1.668,57.32,0.064,116.09,0.129,0.88,0.001,58.93,0.065,385.38,0.428,438.75,23.81,34.18
346,Mountain,10,Florencia,3,RM,P2,214.48,0.238,2.383,55.15,0.061,136.18,0.151,0.27,0,26.75,0.03,435.66,0.484,451.61,22.5,32.33
347,Mountain,11,Florencia,3,RM,P2,145.1,0.161,1.612,13.85,0.015,79.3,0.088,4.03,0.004,3.02,0.003,247.18,0.275,233.18,22.71,31.23
348,Mountain,12,Florencia,3,RM,P2,718.96,0.799,7.988,87.13,0.097,300.78,0.334,39.34,0.044,34.56,0.038,1190.03,1.322,270.06,23.66,31.86
349,Mountain,1,San Jose,2,DM2,P13,785.1,0.872,8.723,115.89,0.129,54.58,0.061,0.78,0.001,102.12,0.113,1068.25,1.187,352.37,19.59,28.17
350,Mountain,2,San Jose,2,DM2,P13,422.41,0.469,4.693,72.83,0.081,147.15,0.164,1.46,0.002,7.82,0.009,657.08,0.73,228.24,19.14,30.13
351,Mountain,3,San Jose,2,DM2,P13,535.62,0.595,5.951,104.55,0.116,234.64,0.261,2.89,0.003,27.506,0.031,912.13,1.013,366.49,19.71,27.69
352,Mountain,4,San Jose,2,DM2,P13,389.93,0.433,4.333,52.17,0.058,144.07,0.16,3.34,0.004,28.11,0.031,622.61,0.692,218.22,19.74,28.42
353,Mountain,5,San Jose,2,DM2,P13,0,0,0,0,0,0,0,0,0,0,0,0,0,192.79,19.14,26.65
354,Mountain,6,San Jose,2,DM2,P13,963.05,1.07,10.701,145.45,0.162,152.83,0.17,0.55,0.001,5.93,0.007,1279.91,1.422,90.87,19.61,27.18
355,Mountain,7,San Jose,2,DM2,P13,1152.49,1.281,12.805,185.94,0.207,165.68,0.184,0,0,11.61,0.013,1530.2,1.7,299.13,19.41,28.45
356,Mountain,8,San Jose,2,DM2,P13,326.67,0.363,3.63,16.22,0.018,86.67,0.096,0,0,0.48,0.001,434.15,0.482,376.37,18.15,26.5
357,Mountain,9,San Jose,2,DM2,P13,271.4,0.302,3.016,14.22,0.016,109.68,0.122,0,0,5.17,0.006,403.92,0.449,463.73,18.22,26.29
358,Mountain,10,San Jose,2,DM2,P13,191.35,0.213,2.126,11.67,0.013,92.93,0.103,0.19,0,20.05,0.022,318.65,0.354,379.89,17.12,24.84
359,Mountain,11,San Jose,2,DM2,P13,295.57,0.328,3.284,36.79,0.041,128.3,0.143,0,0,12.67,0.014,477.13,0.53,210.6,17.35,26.45
360,Mountain,12,San Jose,2,DM2,P13,672.28,0.747,7.47,31.76,0.035,90.25,0.1,0.6,0.001,9.54,0.011,812.78,0.903,192.49,18.6,26.83
361,Mountain,1,San Jose,3,RM,P12,580.42,0.645,6.449,71.26,0.079,74.48,0.083,0,0,29.18,0.032,762.6,0.847,352.37,19.59,28.17
362,Mountain,2,San Jose,3,RM,P12,534.85,0.594,5.943,34.1,0.038,103.7,0.115,0.02,0,5.12,0.006,684.48,0.761,228.24,19.14,30.13
363,Mountain,3,San Jose,3,RM,P12,557.01,0.619,6.189,30.75,0.034,114.06,0.127,0,0,1.571,0.002,710.36,0.789,366.49,19.71,27.69
364,Mountain,4,San Jose,3,RM,P12,456.65,0.507,5.074,40.42,0.045,139.81,0.155,0,0,2.51,0.003,645.17,0.717,218.22,19.74,28.42
365,Mountain,5,San Jose,3,RM,P12,0,0,0,0,0,0,0,0,0,0,0,0,0,192.79,19.14,26.65
366,Mountain,6,San Jose,3,RM,P12,535.74,0.595,5.953,57.04,0.063,174.82,0.194,0.21,0,4.06,0.005,778.68,0.865,90.87,19.61,27.18
367,Mountain,7,San Jose,3,RM,P12,494.21,0.549,5.491,55.99,0.062,167.93,0.187,0,0,73.49,0.082,797.91,0.887,299.13,19.41,28.45
368,Mountain,8,San Jose,3,RM,P12,349.88,0.389,3.888,23.05,0.026,54.02,0.06,0.03,0,9.5,0.011,440.84,0.49,376.37,18.15,26.5
369,Mountain,9,San Jose,3,RM,P12,305.09,0.339,3.39,50.57,0.056,129.36,0.144,0.49,0.001,17.2,0.019,506.64,0.563,463.73,18.22,26.29
370,Mountain,10,San Jose,3,RM,P12,329.16,0.366,3.657,31.72,0.035,66.75,0.074,6.32,0.007,26.68,0.03,464.77,0.516,379.89,17.12,24.84
371,Mountain,11,San Jose,3,RM,P12,368.31,0.409,4.092,49.65,0.055,107.31,0.119,0,0,8.91,0.01,538.86,0.599,210.6,17.35,26.45
372,Mountain,12,San Jose,3,RM,P12,990.57,1.101,11.006,69.1,0.077,164.73,0.183,1.73,0.002,25.82,0.029,1264.32,1.405,192.49,18.6,26.83
373,Mountain,1,San Jose,3,RM,P13,327.57,0.364,3.64,38.6,0.043,83.81,0.093,56.81,0.063,13.5,0.015,524.49,0.583,352.37,19.59,28.17
374,Mountain,2,San Jose,3,RM,P13,142.54,0.158,1.584,24.95,0.028,80.61,0.09,45.92,0.051,30.09,0.033,326.02,0.362,228.24,19.14,30.13
375,Mountain,3,San Jose,3,RM,P13,511.89,0.569,5.688,69.41,0.077,211.27,0.235,1.04,0.001,10.98,0.012,811.16,0.901,366.49,19.71,27.69
376,Mountain,4,San Jose,3,RM,P13,252.14,0.28,2.802,24.33,0.027,78.07,0.087,0,0,34.95,0.039,392.69,0.436,218.22,19.74,28.42
377,Mountain,5,San Jose,3,RM,P13,0,0,0,0,0,0,0,0,0,0,0,0,0,192.79,19.14,26.65
378,Mountain,6,San Jose,3,RM,P13,1205.73,1.34,13.397,55.41,0.062,252.43,0.28,0.35,0,10.17,0.011,1539.17,1.71,90.87,19.61,27.18
379,Mountain,7,San Jose,3,RM,P13,295.82,0.329,3.287,54.25,0.06,132.63,0.147,0,0,9.94,0.011,496.46,0.552,299.13,19.41,28.45
380,Mountain,8,San Jose,3,RM,P13,268.62,0.298,2.985,37.22,0.041,45.68,0.051,0.02,0,21.28,0.024,376.2,0.418,376.37,18.15,26.5
381,Mountain,9,San Jose,3,RM,P13,240.22,0.267,2.669,36.64,0.041,51.99,0.058,1.12,0.001,3.09,0.003,336.1,0.373,463.73,18.22,26.29
382,Mountain,10,San Jose,3,RM,P13,199.64,0.222,2.218,32.52,0.036,66.17,0.074,0.74,0.001,21.64,0.024,323.26,0.359,379.89,17.12,24.84
383,Mountain,11,San Jose,3,RM,P13,313.16,0.348,3.48,52.72,0.059,114.85,0.128,9.31,0.01,19.14,0.021,513.2,0.57,210.6,17.35,26.45
384,Mountain,12,San Jose,3,RM,P13,554.1,0.616,6.157,74.8,0.083,108.21,0.12,18.65,0.021,27.5,0.031,790.26,0.878,192.49,18.6,26.83
