Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
227,Mountain,11,Morelia,2,DM2,P12,349.17,0.388,3.88,138.79,0.154,509.53,0.566,0,0,7.98,0.009,1010.46,1.123,235.28,22.71,31.23
228,Mountain,12,Morelia,2,DM2,P12,449.5,0.499,4.994,193.72,0.215,509.53,0.566,0,0,8.81,0.01,1167.84,1.298,273.34,23.66,31.86
229,Mountain,1,Morelia,1,DM1,P11,51.71,0.057,0.575,7.77,0.009,3.7,0.004,0.07,0,0,0,63.89,0.071,345.06,24.73,33.7
230,Mountain,2,Morelia,1,DM1,P11,247.3,0.275,2.748,41.64,0.046,13.25,0.015,0.05,0,0,0,305.32,0.339,220.93,24.54,34.92
231,Mountain,3,Morelia,1,DM1,P11,281.5,0.313,3.128,63.9,0.071,136.8,0.152,0.59,0.001,4.34,0.005,490.79,0.545,291.32,24.85,34.44
232,Mountain,4,Morelia,1,DM1,P11,168.68,0.187,1.874,12.53,0.014,26.18,0.029,0.91,0.001,1.02,0.001,211.42,0.235,179.22,25.07,34.72
233,Mountain,5,Morelia,1,DM1,P11,303.12,0.337,3.368,11.22,0.012,20.11,0.022,0,0,1.89,0.002,340.08,0.378,156.94,24.56,33.66
234,Mountain,6,Morelia,1,DM1,P11,200.66,0.223,2.23,3.75,0.004,9.15,0.01,0,0,0.26,0,216.28,0.24,62.19,25.33,34.14
235,Mountain,7,Morelia,1,DM1,P11,674.86,0.75,7.498,22.12,0.025,108.26,0.12,0.67,0.001,1.02,0.001,815.32,0.906,283,25.01,34.09
236,Mountain,8,Morelia,1,DM1,P11,188.08,0.209,2.09,3.14,0.003,26.52,0.029,0.42,0,0.57,0.001,221.06,0.246,467.74,23.59,33.26
237,Mountain,9,Morelia,1,DM1,P11,155.29,0.173,1.725,12.42,0.014,28.25,0.031,0,0,2.85,0.003,200.75,0.223,496.01,23.81,34.18
238,Mountain,10,Morelia,1,DM1,P11,72.44,0.08,0.805,11.5,0.013,14.26,0.016,0,0,0.37,0,99.48,0.111,450.4,22.5,32.33
239,Mountain,11,Morelia,1,DM1,P11,477.31,0.53,5.303,79.92,0.089,130.57,0.145,8.53,0.009,0.7,0.001,703.11,0.781,235.28,22.71,31.23
240,Mountain,12,Morelia,1,DM1,P11,169.58,0.188,1.884,52.43,0.058,124.55,0.138,0.68,0.001,10.89,0.012,360.4,0.4,273.34,23.66,31.86
241,Mountain,1,Belén ,1,DM1,P9,101.29,0.113,1.125,27.68,0.031,21.6,0.024,0.12,0,0.3,0,152.28,0.169,312.97,24.48,33.27
242,Mountain,2,Belén ,1,DM1,P9,99.54,0.111,1.106,14.63,0.016,18.27,0.02,0,0,0.12,0,133.81,0.149,223.07,24.04,35.49
243,Mountain,3,Belén ,1,DM1,P9,104.76,0.116,1.164,11.45,0.013,14.39,0.016,0,0,1.1612,0.001,133.07,0.148,324.17,24.26,33.13
244,Mountain,4,Belén ,1,DM1,P9,132.63,0.147,1.474,38.39,0.043,29.31,0.033,4.08,0.005,0.15,0,206.26,0.229,189.04,24.37,33.02
245,Mountain,5,Belén ,1,DM1,P9,609.68,0.677,6.774,23.77,0.026,212.48,0.236,27.53,0.031,0.36,0,881.56,0.98,172.29,23.75,32
246,Mountain,6,Belén ,1,DM1,P9,333.1,0.37,3.701,12.68,0.014,65.21,0.072,0.15,0,4.5,0.005,419.8,0.466,61.45,24.4,33.52
247,Mountain,7,Belén ,1,DM1,P9,52.79,0.059,0.587,11.8,0.013,13.77,0.015,0,0,0.03,0,79.06,0.088,260.71,24.24,32.91
248,Mountain,8,Belén ,1,DM1,P9,172.14,0.191,1.913,2.82,0.003,25.9,0.029,0,0,0.07,0,203.07,0.226,431.91,22.74,31.75
249,Mountain,9,Belén ,1,DM1,P9,125.57,0.14,1.395,8.17,0.009,28.32,0.031,0,0,0.71,0.001,164.35,0.183,433.42,23.03,32.53
250,Mountain,10,Belén ,1,DM1,P9,229.41,0.255,2.549,23.67,0.026,22.34,0.025,0.72,0.001,1.09,0.001,280.09,0.311,363.79,22.04,31.08
251,Mountain,11,Belén ,1,DM1,P9,185.08,0.206,2.056,13.81,0.015,38.09,0.042,0.47,0.001,8.85,0.01,248.62,0.276,188.3,22.39,30.8
252,Mountain,12,Belén ,1,DM1,P9,241.87,0.269,2.687,19.77,0.022,70.25,0.078,0.91,0.001,4.87,0.005,340.73,0.379,229.75,23.42,32
253,Mountain,1,Belén ,2,DM2,P8,323.23,0.359,3.591,149.21,0.166,624.87,0.694,0.39,0,50.9,0.057,1153.41,1.282,312.97,24.48,33.27
254,Mountain,2,Belén ,2,DM2,P8,348.4,0.387,3.871,55.36,0.062,79.56,0.088,0,0,4.66,0.005,492.38,0.547,223.07,24.04,35.49
